,Player,FPTS,value,pos
439,Justin Davis,5.5,-182.68333333333334,rb
440,Jay Prosch,5.5,-182.68333333333334,rb
441,Dalton Crossan,5.4,-182.78333333333333,rb
442,Keith Smith,5.4,-182.78333333333333,rb
443,Trenton Cannon,5.3,-182.88333333333333,rb
444,Akrum Wadley,5.1,-183.08333333333334,rb
445,Fozzy Whittaker,4.3,-183.88333333333333,rb
446,Devante Mays,3.9,-184.28333333333333,rb
447,Michael Burton,3.8,-184.38333333333333,rb
448,Ryan Hewitt,3.4,-184.78333333333333,rb
449,James Develin,3.2,-184.98333333333335,rb
450,Shane Smith,2.9,-185.28333333333333,rb
451,Byron Marshall,2.7,-185.48333333333335,rb
452,Taiwan Jones,2.5,-185.68333333333334,rb
453,Matthew Dayes,2.5,-185.68333333333334,rb
454,Dan Vitale,2.3,-185.88333333333333,rb
455,Raheem Mostert,2.1,-186.08333333333334,rb
456,Marquez Williams,2.1,-186.08333333333334,rb
457,Austin Johnson,1.5,-186.68333333333334,rb
458,Nick Bawden,1.4,-186.78333333333333,rb
459,Derrick Coleman,1.1,-187.08333333333334,rb
460,Joe Kerridge,0.6,-187.58333333333334,rb
461,Josh Rosen,93.7,-187.99166666666667,qb
462,Brandon Wilson,0.0,-188.18333333333334,rb
463,Josh Allen,88.7,-192.99166666666667,qb
464,Sam Darnold,84.4,-197.29166666666666,qb
465,Ryan Fitzpatrick,50.9,-230.79166666666666,qb
466,Baker Mayfield,44.3,-237.39166666666665,qb
467,Lamar Jackson,30.9,-250.79166666666666,qb
468,Nick Foles,23.9,-257.7916666666667,qb
469,Jacoby Brissett,22.1,-259.59166666666664,qb
470,Teddy Bridgewater,20.9,-260.7916666666667,qb
471,Brandon Weeden,14.8,-266.89166666666665,qb
472,Landry Jones,13.0,-268.69166666666666,qb
473,Connor Cook,12.9,-268.7916666666667,qb
474,Blaine Gabbert,12.5,-269.19166666666666,qb
475,David Fales,11.8,-269.89166666666665,qb
