"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tajae Sharpe","TEN","9.6","121.3","0.6","0.0","0.1","0.0","0.1","15.3"
"Pharoh Cooper","LAR","12.8","146.4","0.7","0.3","4.4","0.0","2.7","14.2"
"Tavarres King","MIN","7.0","98.2","0.6","0.4","1.0","0.0","0.1","13.0"
"Paul Turner","NE","7.7","92.8","0.6","0.0","0.0","0.0","0.0","12.9"
"Darrius Heyward-Bey","PIT","7.0","100.9","0.4","0.6","3.6","0.0","0.1","12.9"
"Isaiah McKenzie","DEN","7.3","92.7","0.5","0.6","1.7","0.0","0.0","12.3"
"Jordan Taylor","DEN","7.7","96.0","0.5","0.0","0.0","0.0","0.1","12.1"
"Hunter Sharp","NYG","6.0","67.6","0.9","0.1","-0.1","0.0","0.1","11.8"
"Travis Rudolph","NYG","7.7","95.9","0.4","0.0","0.0","0.0","0.1","11.8"
"Damiere Byrd","CAR","7.2","90.8","0.4","0.0","0.0","0.0","0.1","11.5"
"Bobo Wilson","TB","6.2","82.9","0.5","0.2","0.1","0.0","0.0","11.2"
"Jaleel Scott","BAL","9.0","101.5","0.3","0.0","0.0","0.0","0.4","11.2"
"Rod Streater","BUF","6.5","83.8","0.4","0.0","0.0","0.0","0.0","11.0"
"Michael Floyd","NO","7.1","76.8","0.6","0.0","0.0","0.0","0.1","11.0"
"Ryan Switzer","OAK","8.0","92.3","0.3","0.3","1.4","0.0","0.3","10.9"
"Chad Hansen","NYJ","6.7","85.0","0.4","0.0","0.0","0.0","0.1","10.5"
"Johnny Holton","OAK","5.4","83.9","0.5","0.0","0.4","0.0","0.7","10.3"
"Sammie Coates","HOU","4.8","80.5","0.4","0.1","0.8","0.0","0.1","10.1"
"Matt Slater","NE","4.9","63.4","0.6","0.1","-0.1","0.0","0.0","10.1"
"Justin Hunter","PIT","3.9","52.1","0.8","0.0","0.4","0.0","0.1","10.1"
"Jordan Leslie","DEN","5.2","70.9","0.5","0.0","0.0","0.0","0.0","10.0"
"Michael Campanaro","TEN","6.2","75.0","0.4","0.8","4.0","0.0","0.1","10.0"
"DeAndre Smelter","JAC","5.6","72.3","0.5","0.0","0.0","0.0","0.0","10.0"
"Kasen Williams","IND","8.0","89.0","0.2","0.0","0.0","0.0","0.1","9.9"
"James Wright","IND","6.2","74.0","0.4","0.0","0.0","0.0","0.0","9.9"
